year,id_no,country,region,source,latitude,longitude,mb,Ms,depth,yield_1,yield_u,purpose,name,type,Count
1957,57019,USA,NTS,DOE,37,-116,0,0,-0.2,10,10,WR,KEPLER,TOWER,1
1957,57020,USA,NTS,DOE,37,-116,0,0,-0.2,9.7,9.7,WR,OWENS,BALLOON,1
1957,57021,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-A,SHAFT,1
1957,57022,USA,NTS,DOE,37,-116,0,0,-0.5,19,19,WR,STOKES,BALLOON,1
1957,57055,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,SATURN,TUNNEL,1
1957,57023,USA,NTS,DOE,37,-116,0,0,-0.2,17,17,WR,SHASTA,TOWER,1
1957,57024,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,520,520,WR,,ATMOSPH,1
1957,57025,USA,NTS,DOE,37,-116,0,0,-0.5,11,11,WR,DOPPLER,BALLOON,1
1957,57026,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.1,0.1,SE,,ATMOSPH,1
1957,57027,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-B,SHAFT,1
1957,57028,USA,NTS,DOE,37,-116,0,0,-0.25,4.7,4.7,WR,FRANKLIN PRIME,BALLOON,1
1957,57029,USA,NTS,DOE,37,-116,0,0,-0.25,44,44,WR,SMOKY,TOWER,1
1957,57030,USA,NTS,DOE,37,-116,0,0,-0.2,11,11,WR,GALILEO,TOWER,1
1957,57031,USA,NTS,DOE,37,-116,0,0,-0.2,0.2,0.2,WR,WHEELER,BALLOON,1
1957,57032,USA,NTS,DOE,37,-116,0,0,-0.001,0.3,0.3,SE,COULOMB-B,SURFACE,1
1957,57034,USSR,N2 RUSS,DOE,73,55,0,0,0,32,32,FMS,,SURFACE,1
1957,57033,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,WR,LAPLACE,BALLOON,1
1957,57035,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.9,5.9,WR,,ATMOSPH,1
1957,57036,UK,MARALI AUSTR,DOE,-30,131,0,0,0,1,1,WR,ANTLER:1,TOWER,1
1957,57037,USA,NTS,DOE,37,-116,0,0,-0.2,11,11,WR,FIZEAU,TOWER,1
1957,57038,USA,NTS,DOE,37,-116,0,0,-0.5,12,12,WR,NEWTON,BALLOON,1
1957,57039,USA,NTS,DOE,37,-116,4.1,0,0.3,1.7,1.7,WR,RAINIER,TUNNEL,1
1957,57040,USA,NTS,DOE,37,-116,0,0,-0.2,19,19,WR,WHITNEY,TOWER,1
1957,57041,USSR,NZ RUSS,DOE,73,55,0,0,0,1600,1600,WR,,AIRDROP,1
1957,57042,UK,MARALI AUSTR,DOE,-30,131,0,0,0,6,6,WR,ANTLER:2,TOWER,1
1957,57043,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,13,13,WR,,ATMOSPH,1
1957,57044,USA,NTS,DOE,37,-116,0,0,-0.5,12,12,WR,CHARLESTON,BALLOON,1
1957,57045,USSR,NZ RUSS,DOE,73,55,0,0,0,2900,2900,WR,,ATMOSPH,1
1957,57046,USA,NTS,DOE,37,-116,0,0,-0.2,8,8,WR,MORGAN,BALLOON,1
1957,57047,UK,MARALI AUSTR,DOE,-30,131,0,0,0,25,25,WR,ANTLER:3,BALLOON,1
1957,57048,USSR,NZ RUSS,DOE,73,55,0,0,0,10,10,WE,,UW,1
1957,57049,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,1800,1800,WR,GRAPPLE X,AIRDROP,1
1957,57050,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-C,SHAFT,1
1957,57051,USA,NTS,DOE,37,-116,0,0,0,0.5,0.5,SE,COULOMB-C,SURFACE,1
1957,57052,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,,ATMOSPH,1
1958,58001,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WR,,ATMOSPH,1
1958,58002,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.5,0.5,WR,,ATMOSPH,1
1958,58003,USA,NTS,DOE,37,-116,0,0,0,0,0.001,SE,VENUS,TUNNEL,1
1958,58004,USSR,NZ RUSS,DOE,73,55,0,0,0,860,860,WR,,ATMOSPH,1
1958,58005,USSR,NZ RUSS,DOE,73,55,0,0,0,250,250,WR,,ATMOSPH,1
1958,58006,USSR,NZ RUSS,DOE,73,55,0,0,0,1500,1500,WR,,ATMOSPH,1
1958,58007,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WR,,ATMOSPH,1
1958,58008,USSR,NZ RUSS,DOE,73,55,0,0,0,40,40,FMS,,ATMOSPH,1
1958,58009,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,35,35,WR,,ATMOSPH,1
1958,58010,USA,NTS,DOE,37,-116,0,0,0,0,0.001,SE,URANUS,TUNNEL,1
1958,58011,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WR,,ATMOSPH,1
1958,58012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.16,0.16,FMS,,ATMOSPH,1
1958,58013,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,,ATMOSPH,1
1958,58014,USSR,NZ RUSS,DOE,73,55,0,0,0,650,650,WR,,ATMOSPH,1
1958,58015,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,18,18,WR,,ATMOSPH,1
1958,58016,USA,PACIFIC,DOE,12.617,163.017,0,0,-28,1.7,1.7,WE,YUCCA,BALLOON,1
1958,58017,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,3000,3000,WR,GRAPPLE Y,AIRDROP,1
1958,58018,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,18,18,WR,CACTUS,SURFACE,1
1958,58019,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,1360,1360,WR,FIR,BARGE,1
1958,58020,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,81,81,WR,BUTTERNUT,BARGE,1
1958,58021,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1370,1370,WR,KOA,SURFACE,1
1958,58022,USA,ENEWETAK,DOE,11.3,162.15,0,0,0.2,9,9,WE,WAHOO,UW,1
1958,58023,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,5.9,5.9,WR,HOLLY,BARGE,1
1958,58024,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,25.1,25.1,WR,NUTMEG,BARGE,1
1958,58025,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,330,330,WR,YELLOW WOOD,BARGE,1
1958,58026,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,57,57,WR,MAGNOLIA,BARGE,1
1958,58027,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,11.6,11.6,WR,TOBACCO,BARGE,1
1958,58028,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,92,92,WR,SYCAMORE,BARGE,1
1958,58029,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,15,15,WR,ROSE,BARGE,1
1958,58030,USA,ENEWETAK,DOE,11.3,162.15,0,0,0.05,8,8,WE,UMBRELLA,UW,1
1958,58031,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,213,213,WR,MAPLE,BARGE,1
1958,58032,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,319,319,WR,ASPEN,BARGE,1
1958,58033,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1450,1450,WR,WALNUT,BARGE,1
1958,58034,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,11,11,WR,LINDEN,BARGE,1
1958,58035,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,412,412,WR,REDWOOD,BARGE,1
1958,58036,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,880,880,WR,ELDER,BARGE,1
1958,58037,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,8900,8900,WR,OAK,BARGE,1
1958,58038,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,14,14,WR,HICKORY,BARGE,1
1958,58039,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,5.2,5.2,WR,SEQUOIA,BARGE,1
1958,58040,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,220,220,WR,CEDAR,BARGE,1
1958,58041,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,397,397,WR,DOGWOOD,BARGE,1
1958,58042,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,9300,9300,WR,POPLAR,BARGE,1
1958,58043,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,0,0,SE,SCAEVOLA,BARGE,1
1958,58044,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,255,255,WR,PISONIA,BARGE,1
1958,58045,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,65,65,WR,JUNIPER,BARGE,1
1958,58046,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,202,202,WR,OLIVE,BARGE,1
1958,58047,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,2000,2000,WR,PINE,BARGE,1
1958,58048,USA,JOHNSTON IS,DOE,16.45,-169.32,0,0,-85,3800,3800,WE,TEAK,ROCKET,1
1958,58049,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,0,0,WR,QUINCE,SURFACE,1
1958,58050,USA,JOHNSTON IS,DOE,16.45,-169.32,0,0,-45,3800,3800,WE,ORANGE,ROCKET,1
1958,58051,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,0.02,0.02,WR,FIG,SURFACE,1
1958,58052,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,24,24,WR,GRAPPLE Z,BALLOON,1
1958,58053,USA,S. ATLANTIC,DOE,-38.5,-11.5,0,0,-160,1,2,WE,ARGUS:I,ROCKET,1
1958,58054,USA,S.ATLANTIC,DOE,-49.5,-8.2,0,0,-160,1,2,WE,ARGUS:II,ROCKET,1
1958,58055,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,1000,1000,WR,GRAPPLE,AIRDROP,1
1958,58056,USA,S.ATLANTIC,DOE,-48.5,-9.7,0,0,-160,1,2,WE,ARGUS:III,ROCKET,1
1958,58057,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,800,800,WR,GRAPPLE Z,AIRDROP,1
1958,58058,USA,NTS,DOE,37,-116,0,0,0,0.038,0.038,SB,OTERO,SHAFT,1
1958,58059,USA,NTS,DOE,37,-116,0,0,0,0.015,0.015,SE,BERNALILLO,SHAFT,1
1958,58060,USA,NTS,DOE,37,-116,0,0,-0.2,0.083,0.083,WR,EDDY,BALLOON,1
1958,58061,USA,NTS,DOE,37,-116,0,0,0,0.0015,0.0015,SB,LUNA,SHAFT,1
1958,58062,UK,CHRISTMAS IS,DOE,2,-157,0,0,0,25,25,WR,GRAPPLE Z,BALLOON,1
1958,58063,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,MERCURY,TUNNEL,1
1958,58064,USA,NTS,DOE,37,-116,0,0,0,0.002,0.002,SB,VALENCIA,SHAFT,1
1958,58065,USA,NTS,DOE,37,-116,0,0,0,0.013,0.013,SB,MARS,TUNNEL,1
1958,58066,USA,NTS,DOE,37,-116,0,0,-0.5,2,2,WR,MORA,BALLOON,1
1958,58067,USSR,NZ RUSS,DOE,73,55,0,0,0,1200,1200,WR,,ATMOSPH,1
